"","Diplopterys pubipetala","Byrsonima gardnerana","Banisteriopsis muricata","Heteropterys sp1 M_PL_059","Heteropterys sp2 M_PL_059","Dicella bracteosa","Carolus chasei","Stigmaphyllon paralias","Banisteriopsis stellaris","Banisteriopsis schizoptera","Stigmaphyllon auriculatum","Stigmaphyllon ciliatum","Janusia anisandra"
"Centris aenea",1368,924,396,764,740,556,604,504,292,228,240,268,188
"Centris fuscata",1364,320,468,680,656,512,452,816,300,224,164,196,244
"Centris caxiensis",740,2108,108,528,528,356,432,0,244,124,68,0,0
"Centris tarsata",460,464,140,308,332,132,200,0,116,120,0,0,96
"Centris flavifrons",416,284,272,404,0,524,0,0,0,0,196,164,0
"Centris trigonoides",256,0,652,300,324,0,0,0,0,0,0,0,0
"Centris obsoleta",0,0,912,0,0,0,0,0,0,0,0,0,0
"Epicharis sp1 M_PL_059",328,0,364,28,116,0,0,0,0,0,0,0,0
"Apis mellifera",364,28,44,0,116,0,0,0,0,0,0,0,0
"Centris sp1 M_PL_059",368,0,0,0,0,0,0,0,0,0,0,0,0
"Centris sp2 M_PL_059",0,0,368,0,0,0,0,0,0,0,0,0,0
"Xylocopa sp1 M_PL_059",0,0,164,76,0,0,0,0,0,0,0,0,0
"Xylocopa grisescens",0,0,84,0,0,0,0,0,0,0,0,0,0
